Parcel,Property Address,Community Area,Type,Class,Land Code,Land Use,Acreage,Zoning,Bldg Count,Yr Blt,Improvement Use,Imp Area,Reception Number,Sale Date,Sale Price,Parcels Sold,Assessor Sale Comment
6332225013,VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.11, ,1,1919,FRAME FAIR QUALITY,720,214085647,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332225014,VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.11, , , , , ,214085644,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332225014,VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.11, , , , , ,214085646,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332225014,VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.11, , , , , ,214085647,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332225015,VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.11, , , , , ,214085644,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332225015,VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.11, , , , , ,214085646,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332225015,VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.11, , , , , ,214085647,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332225016,3021 VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.11, , , , , ,214085644,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332225016,3021 VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.11, , , , , ,214085646,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332225016,3021 VIRGINIA AVE,VENETIAN VILLAGE,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.11, , , , , ,214085647,9/19/14,"30,000",4,Multiple properties; Partial interest conveyed
6332305027,2916 N INSTITUTE ST,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6,1,1967,MASONRY AVERAGE QUALITY,"1,080",214098077,10/24/14,"171,833",1,Family/In-House transfer
6332308005,2866 JON ST,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6,1,1959,FRAME AVERAGE QUALITY,"1,046",214073184,8/13/14,"184,900",1,Good sale; verified
6332308033,2818 N JON ST,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6,1,1959,MASONRY AVERAGE QUALITY,"1,058",214070803,8/6/14,"167,400",1,Good sale; verified
6332314010,2613 TEMPLETON GAP RD,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6,1,1958,MASONRY AVERAGE QUALITY,"1,152",214093512,10/14/14,"150,000",1,Good sale; verified
6332315007,2721 PENNSYLVANIA AVE,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6,1,1956,FRAME AVERAGE QUALITY,"1,731",214081233,9/5/14,"179,000",1,Good sale; verified
6332318004,2614 N PROSPECT ST,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6,1,1962,FRAME AVERAGE QUALITY,"1,826",214076936,8/25/14,"110,000",1,Below average condition
6332402042,1515 COLUMBINE BLVD,VENETIAN VILLAGE,RESIDENTIAL,Residential,1115,DUPLEXES & TRIPLEXES,0.17,R2,1,1962,DUPLEXES-TRIPLEXES,"1,550",214091259,10/6/14,"101,000",1,Good sale; verified
6332404010,2805 N HANCOCK AVE,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6,1,1952,FRAME AVERAGE QUALITY,"1,339",214092339,10/9/14,"126,000",1,Good sale; verified
6332406059,2825 ELM MEADOW VW,PATTY JEWETT,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,PUD/CR CU,1,2007,CONDOMINIUM UNIT,"1,114",214086560,9/23/14,"242,500",1,Good sale; verified
6332406104,1554 LEWIS RIDGE VW # A,PATTY JEWETT,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.00, , , , , ,214089424,10/1/14,"429,937",1,Good sale; verified
6332408001,2635 MEADE CIR,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6,1,1965,MASONRY AVERAGE QUALITY,"1,422",214078272,8/28/14,"160,000",1,Good sale; verified
6332411021,2504 FARRAGUT AVE,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6,1,1953,FRAME AVERAGE QUALITY,"1,013",214071333,8/7/14,"179,900",1,Good sale; verified; Changes not yet assessed
6332412020,2504 N MEADE AVE,PATTY JEWETT,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6,1,1954,FRAME AVERAGE QUALITY,"1,215",214074601,8/18/14,"163,900",1,Good sale; verified
6333204049,3330 TEMPLETON GAP RD # 22,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.03,PUD,1,1974,TOWNHOUSE,767,214089962,10/1/14,"142,000",1,Good sale; verified
6333205004,3344 TEMPLETON GAP RD,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.10,C5,1,1994,FRAME GOOD QUALITY,"1,102",214074612,8/18/14,"322,000",1,Good sale; verified
6333306006,2715 MEADOWLARK LN,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1954,FRAME AVERAGE QUALITY,"1,025",214087975,9/26/14,"118,000",1,Family/In-House transfer
6333307013,2628 MEADOWLARK LN,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6,1,1954,FRAME AVERAGE QUALITY,"1,025",214090744,10/3/14,"147,000",1,Good sale; verified
6333311013,2515 MEADOWLARK LN,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1954,FRAME AVERAGE QUALITY,"1,025",214079268,8/29/14,"125,000",1,Cannot Verify; no TD1000
6333312013,2604 LARK DR,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1954,FRAME AVERAGE QUALITY,"1,025",214080867,9/4/14,"78,000",1,Good sale; verified
6333314004,2808 COUNTRY CLUB CIR,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.23,R1-6,1,1978,FRAME GOOD QUALITY,"2,137",214079787,9/2/14,"330,000",1,Good sale; verified
6333314050,2695 FAIRWAY DR,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.26,R1-6,1,1979,FRAME GOOD QUALITY,"2,103",214090090,10/2/14,"430,000",1,Good sale; verified
6333401001,3227 AUSTIN DR,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.28,R1-6,1,1971,FRAME GOOD QUALITY,"2,363",214088050,9/26/14,"310,000",1,Good sale; verified; Estate Sale
6333413005,2720 MARILYN RD,PALMER PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.25,R1-6,1,1958,MASONRY GOOD QUALITY,"1,302",214098927,10/28/14,"213,000",1,Good sale; verified
6334102051,3520 PARKMOOR VILLAGE DR # D,PALMER PARK,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,PUD,1,1974,CONDOMINIUM UNIT,427,214070357,8/5/14,"45,000",1,Good sale; verified
6334102123,3440 PARKMOOR VILLAGE DR # B,PALMER PARK,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,PUD,1,1974,CONDOMINIUM UNIT,"1,153",214078153,8/27/14,"76,000",1,Good sale; verified
6334102143,3455 REBECCA LN # E,PALMER PARK,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,PUD,1,1974,CONDOMINIUM UNIT,862,214083457,9/12/14,"45,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6334102189,3210 VAN TEYLINGEN DR # B,PALMER PARK,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,PUD,1,1974,CONDOMINIUM UNIT,450,214086453,9/23/14,"54,000",1,Good sale; verified
6334102196,3230 VAN TEYLINGEN DR # F,PALMER PARK,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,PUD,1,1974,CONDOMINIUM UNIT,862,214100204,10/31/14,"60,000",1,Good sale; verified
6334402033,2790 N ACADEMY BLVD,PALMER PARK,NON-RESIDENTIAL,Commercial,2145,COMMERCIAL CONDO,0.00,OR UV,1,1980,COMMERCIAL CONDO,"39,859",214090487,10/3/14,"1,900,000",1,Good sale; verified
6335103029,4325 HIDE N SEEK LN,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6,1,1971,FRAME AVERAGE QUALITY,"1,213",214098924,10/28/14,"214,000",1,Good sale; verified
6335106027,4674 S SLEEPY HOLLOW CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6 AO,1,1973,FRAME AVERAGE QUALITY,"1,135",214097823,10/24/14,"179,900",1,Good sale; verified
6335108012,4540 WHIMSICAL DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.25,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,"1,120",214099487,10/30/14,"162,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6335118008,3015 CARAVAN CT,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.29,R1-6 AO,1,1973,FRAME AVERAGE QUALITY,"1,248",214073661,8/14/14,"237,500",1,Good sale; verified
6335201025,3235 E PARADE CIR,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,R1-6,1,1970,FRAME AVERAGE QUALITY,"1,134",214094247,10/15/14,"220,000",1,Good sale; verified
6335201037,3278 W PARADE CIR,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6,1,1970,FRAME AVERAGE QUALITY,"1,589",214093863,10/14/14,"150,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6335303012,2723 E SERENDIPITY CIR,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6,1,1969,FRAME AVERAGE QUALITY,"1,467",214078288,8/28/14,"219,000",1,Good sale; verified
6335303023,2997 E WHILEAWAY CIR,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.25,R1-6,1,1971,FRAME GOOD QUALITY,"1,121",214069896,8/4/14,"207,000",1,Good sale; verified
6335307003,3823 WINDSONG CT,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6,1,1970,FRAME AVERAGE QUALITY,897,214079769,9/2/14,"156,500",1,Good sale; verified
6335308051,2774 HEARTHWOOD LN,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.02,PUD,1,1980,TOWNHOUSE,901,214069315,8/1/14,"86,145",1,Good sale; verified
6335308076,2732 HEARTHWOOD LN,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.02,PUD,1,1979,TOWNHOUSE,901,214098665,10/28/14,"84,075",1,"REO,Gvmt,FinInst,Short,PreFC"
6335308084,2716 HEARTHWOOD LN,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.03,PUD,1,1979,TOWNHOUSE,"1,000",214095398,10/17/14,"95,000",1,Good sale; verified; Estate Sale
6335308157,2727 HEARTHWOOD LN,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.01,PUD,1,1979,TOWNHOUSE,484,214083377,9/12/14,"96,000",1,Good sale; verified
6335308165,2763 HEARTHWOOD LN,PARKMOOR,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.02,PUD,1,1980,TOWNHOUSE,901,214079917,9/3/14,"91,000",1,Good sale; verified; Estate Sale
6335319021,4092 ST ANDREWS CT,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,R1-6,1,1985,FRAME GOOD QUALITY,"1,324",214071756,8/8/14,"272,500",1,Good sale; verified
6335319036,2756 STONEWALL HTS,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6 P,1,1998,FRAME GOOD QUALITY,"1,667",214087640,9/25/14,"314,000",1,Good sale; verified
6335320023,2787 STONEWALL HTS,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6 P,1,2001,FRAME GOOD QUALITY,"1,799",214075820,8/20/14,"325,000",1,Good sale; verified; Estate Sale
6335405015,4805 AVONDALE CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.54,R1-6 AO,1,1976,FRAME GOOD QUALITY,"1,894",214090532,10/3/14,"350,000",1,Good sale; verified
6335409002,3002 FASCINATION CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,"1,420",214081725,9/8/14,"225,000",1,Good sale; verified
6335412007,4386 S WHISPERING CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.40,R1-6,1,1985,FRAME GOOD QUALITY,"1,357",214079144,8/29/14,"389,900",1,Good sale; verified
6336108004,5525 TROUT CREEK PASS DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.20,R1-6 AO,1,1982,FRAME AVERAGE QUALITY,"1,352",214075744,8/20/14,"216,000",1,Good sale; verified
6336111045,6264 GUNSHOT PASS DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.10,PUD AO,1,1985,TOWNHOUSE,"1,088",214094333,10/15/14,"137,500",1,Good sale; verified; Estate Sale
6336112021,5762 HERMIT PASS DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.12,PUD AO,1,1983,TOWNHOUSE,913,214097937,10/24/14,"132,000",1,Good sale; verified
6336113003,5575 WHIMSICAL DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6 AO,1,1985,FRAME AVERAGE QUALITY,"2,020",214072070,8/11/14,"176,000",1,Good sale; verified; Estate Sale
6336113073,5453 TENNESSEE PASS DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6 AO,1,1985,FRAME AVERAGE QUALITY,812,214084478,9/16/14,"150,000",1,Good sale; verified
6336113080,5505 PRAIRIE WHEAT VW,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.08,PUD AO,1,2003,TOWNHOUSE,"1,434",214085383,9/18/14,"239,000",1,Good sale; verified
6336113086,3198 PRAIRIE ROSE VW,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.11,PUD AO,1,2004,TOWNHOUSE,"1,356",214081108,9/5/14,"247,900",1,Good sale; verified; Estate Sale
6336114026,5730 WHIMSICAL DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.11,PUD AO,1,1985,TOWNHOUSE,"1,088",214074425,8/18/14,"148,000",1,Good sale; verified
6336115004,5755 WHIMSICAL DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.09,PUD AO,1,1984,TOWNHOUSE,"1,088",214080811,9/4/14,"139,800",1,Good sale; verified
6336116045,3040 MANDALAY GRV UNIT 8,VILLAGE SEVEN,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,R5 AO,1,2002,CONDOMINIUM UNIT,"1,405",214093139,10/10/14,"130,000",1,Good sale; verified
6336117007,5420 PONCHA PASS CT,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6 AO,1,1985,FRAME AVERAGE QUALITY,576,214097726,10/24/14,"166,500",1,Good sale; verified
6336117012,5445 PONCHA PASS CT,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6 AO,1,1985,FRAME AVERAGE QUALITY,418,214097976,10/24/14,"148,000",1,Good sale; verified
6336203165,4703 DAYBREAK CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,PUD AO,1,1982,CONDOMINIUM UNIT,"1,130",214076860,8/25/14,"117,100",1,Good sale; verified
6336203182,5040 SUNSUITE TRL,VILLAGE SEVEN,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,PUD AO,1,1982,CONDOMINIUM UNIT,"1,151",214072596,8/12/14,"117,300",1,Good sale; verified
6336203204,4966 DAYBREAK CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.05,PUD AO,1,1983,TOWNHOUSE,793,214072215,8/11/14,"182,500",1,Good sale; verified
6336203216,3525 PINON SUN LN,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.05,PUD AO,1,1983,TOWNHOUSE,967,214079392,9/2/14,"150,000",1,Good sale; verified; Estate Sale
6336204031,4878 WANDERING CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,845,214093902,10/14/14,"180,000",1,Good sale; verified
6336207001,4953 N RAINDROP CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,"1,036",214077541,8/26/14,"138,727",1,"REO,Gvmt,FinInst,Short,PreFC"
6336209026,3278 TEARDROP CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6 AO,1,1973,FRAME AVERAGE QUALITY,"1,169",214080211,9/3/14,"107,000",1,Good sale; verified
6336210003,5261 S CAREFREE CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.29,R1-6 AO,1,1974,FRAME AVERAGE QUALITY,"1,202",214076407,8/22/14,"195,000",1,Good sale; verified
6336212054,3130 INSPIRATION DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6 AO,1,1973,FRAME AVERAGE QUALITY,"1,101",214098337,10/27/14,"145,900",1,"REO,Gvmt,FinInst,Short,PreFC"
6336301088,2880 INSPIRATION DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1973,FRAME AVERAGE QUALITY,"1,556",214072497,8/11/14,"218,000",1,Good sale; verified
6336301096,2810 INSPIRATION DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6 AO,1,1974,FRAME AVERAGE QUALITY,"1,058",214096511,10/21/14,"213,000",1,Good sale; verified
6336302007,4908 ALTEZA DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.52,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,"1,409",214075328,8/19/14,"210,000",1,Good sale; verified
6336302012,4820 ALTEZA DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.46,R1-6 AO,1,1969,FRAME AVERAGE QUALITY,"1,676",214081771,9/8/14,"205,000",1,Good sale; verified
6336302025,2660 ORO BLANCO DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.20,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,"1,885",214096485,10/21/14,"240,000",1,Good sale; verified
6336306004,2635 SIERRA DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,"1,077",214093465,10/14/14,"199,900",1,Good sale; verified
6336309011,2925 INSPIRATION DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1976,FRAME AVERAGE QUALITY,"1,069",214090684,10/3/14,"224,900",1,Good sale; verified
6336311048,5040 BARCELONA WAY,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6 AO,1,1974,FRAME AVERAGE QUALITY,"1,329",214097127,10/22/14,"225,000",1,Good sale; verified
6336316020,2765 ORO BLANCO DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1974,FRAME AVERAGE QUALITY,"1,076",214094876,10/16/14,"235,000",1,Good sale; verified
6336406010,2728 INSPIRATION DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,R1-6 AO,1,1973,FRAME AVERAGE QUALITY,"1,074",214079893,9/3/14,"138,000",1,Good sale; verified
6336409034,5419 ALTEZA DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.20,R1-6 AO,1,1983,FRAME AVERAGE QUALITY,572,214078458,8/28/14,"214,000",1,Good sale; verified
6336411042,3025 LAVARIE LN,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1986,FRAME AVERAGE QUALITY,560,214081071,9/5/14,"169,900",1,Good sale; verified; Estate Sale
6336412024,2615 INSPIRATION DR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6 AO,1,1983,FRAME AVERAGE QUALITY,586,214088192,9/29/14,"179,900",1,Good sale; verified
6336415009,5525 LANTANA DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6 AO,1,1983,FRAME AVERAGE QUALITY,968,214071850,8/8/14,"160,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6336415011,5545 LANTANA DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6 AO,1,1983,FRAME AVERAGE QUALITY,968,214100000,10/30/14,"172,500",1,Good sale; verified
6401102035,2145 HEATHERCREST DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.20,R1-6 AO,1,1982,FRAME AVERAGE QUALITY,"1,033",214070366,8/5/14,"184,900",1,Good sale; verified
6401102048,2185 HEATHERCREST DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6 AO,1,1983,FRAME AVERAGE QUALITY,664,214095569,10/17/14,"169,900",1,Good sale; verified
6401104014,5480 HEATHERHILL DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.20,R1-6 AO,1,1992,FRAME AVERAGE QUALITY,"1,752",214076768,8/25/14,"247,900",1,Good sale; verified
6401106007,2030 BULA DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1981,FRAME AVERAGE QUALITY,954,214081926,9/9/14,"175,500",1,Good sale; verified
6401106015,2075 SEVEN ARROW DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6 AO,1,1986,FRAME AVERAGE QUALITY,"1,344",214096370,10/21/14,"212,000",1,Good sale; verified
6401202010,5003 ROCKING R DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,1.00,R AO,1,1971,FRAME AVERAGE QUALITY,"1,079",214099350,10/29/14,"275,000",1,Good sale; verified
6401202024,5112 HALF MOON DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,1.00,R AO,1,1971,FRAME AVERAGE QUALITY,"1,678",214072125,8/11/14,"330,000",1,Good sale; verified; Estate Sale
6401205015,2005 BROKEN CIRCLE RD,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,1.32,R AO,1,1972,FRAME AVERAGE QUALITY,"1,374",214091514,10/7/14,"325,000",1,Good sale; verified
6401301025,1611 LEHMBERG BLVD,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.39,R1-6 AO,1,1968,FRAME AVERAGE QUALITY,"1,149",214097809,10/24/14,"204,000",1,Family/In-House transfer
6401306001,1744 WOOTEN RD,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,R1-6 AO,1,1969,FRAME AVERAGE QUALITY,"1,181",214069043,8/1/14,"184,000",1,Good sale; verified
6401306020,1708 ROBIDOUX CIR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6 AO,1,1969,FRAME AVERAGE QUALITY,"1,162",214077919,8/27/14,"151,000",1,Good sale; verified
6401306055,1619 VASQUEZ CIR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.26,R1-6 AO,1,1968,FRAME AVERAGE QUALITY,"1,175",214083810,9/15/14,"162,500",1,Good sale; verified
6401307005,1811 WOOTEN RD,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.23,R1-6 AO,1,1970,FRAME AVERAGE QUALITY,"1,216",214099171,10/29/14,"187,000",1,Good sale; verified
6401307005,1811 WOOTEN RD,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.23,R1-6 AO,1,1970,FRAME AVERAGE QUALITY,"1,216",214069225,8/1/14,"183,500",1,Good sale; verified
6401309019,1722 SANDERSON AVE,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.22,R1-6 AO,1,1971,FRAME AVERAGE QUALITY,"1,197",214098849,10/28/14,"230,000",1,Good sale; verified
6401401043,5514 DARCY LN,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.02,PUD AO,1,1984,TOWNHOUSE,544,214096545,10/21/14,"99,900",1,Good sale; verified
6401403035,1780 KIMBERLY PL,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.23,R1-6 AO,1,1973,FRAME AVERAGE QUALITY,"1,527",214075679,8/20/14,"165,500",1,"REO,Gvmt,FinInst,Short,PreFC"
6401407004,1960 HEATHERCREST DR,RUSTIC HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6 AO,1,1983,FRAME AVERAGE QUALITY,942,214090609,10/3/14,"147,000",1,Good sale; verified
6402105016,4315 ROCKLAWN CIR,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.37,R1-6,1,1964,FRAME GOOD QUALITY,"1,678",214089817,10/1/14,"289,000",1,Good sale; verified
6402201071,4275 DUNCAN CT,VILLAGE SEVEN,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.27,R1-6,1,1977,FRAME GOOD QUALITY,"1,586",214085720,9/19/14,"301,000",1,Good sale; verified
